College ID,State,Name of the College,"Govt./Aided/Private/
Deemed"
AYU0133,Madhya Pradesh,"Ajeewan Swasthya Samvardhan Ayurveda Mahavidyalaya Arogyadham, Deendayal Research Institute,
Chitrakoot, Distt. Satna-485331, Madhya Pradesh",Private
AYU0134,Madhya Pradesh,"Pt. Khushilal Sharma Govt. (Autonomous) Ayurved College & Institute, Behind Manit, Nehru Nagar,
Kolar Bypass Road, Science Hills, Bhopal-462003, Madhya Pradesh",Government
AYU0135,Madhya Pradesh,"Rajiv Gandhi Ayurvedic College & Hospital
E-8, Trilanga Colony Shahpura, Bhopal-462039, Madhya Pradesh",Private
AYU0136,Madhya Pradesh,"Rani Dullaiya Smriti Ayurvedic P.G. College & Hospital, Barkhedi Kala, Bhadbhada Road, Bhopal-462044,
Madhya Pradesh",Private
AYU0137,Madhya Pradesh,"Veenavadini Ayurved College & Hospital, Akbarpur, Phase-II, Behind Kanhakunj, Kolar Road, Bhopal-462042, Madhya Pradesh",Private
AYU0138,Madhya Pradesh,"Om Ayurvedic Medical College & Hospital, Jamthi, P.O. Bharat Bharati, Betul-460001, Madhya Pradesh",Private
AYU0139,Madhya Pradesh,"Bhanwar Lal Nahata Samriti Sansthan,
MHOW- Neemuch Road, Bhanwar Lal Nahata Marg, Mandsaur Institute of Ayurved Education & Research, Mandsaur-458001, Madhya Pradesh",Private
AYU0140,Maharashtra,"Bharti Vidyapeeth’s University, College of Ayurved, Satara Road, Tal. Haveli. Pune- 411043, Maharashtra",Deemed University (Private)
AYU0141,Maharashtra,"Tilak Ayurved Mahavidyalaya, 583/2, Rasta Peth, Pune-411011, Maharashtra",Government aided
AYU0142,Maharashtra,"Ashtang Ayurveda College,
2062 (New), Sadashiv Peth, Vijaynagar Colony, Late Vd. H.B. Paranjape Chowk,  Pune 411030, Maharashtra",Government aided
AYU0143,Maharashtra,"Ayurved Seva Sangh’s Ayurved Mahavidyalaya Ganeshwadi Panchavati Tal. & Dist. Nashik- 422003, Maharashtra",Grant-in-aid
AYU0144,Maharashtra,"Shri Gangadhar Shastri Gune Ayurved Mahavidyalaya, Vishrambaug, Dist. Ahmednagar- 414001,
Maharashtra",Grant-in-aid
AYU0145,Maharashtra,"Karmvir Vyanketrao Tanaji Randhir, Ayurved College, Boradi, Tal. Shirpur, Dist. Dhule-425428, Maharashtra",Grant-in-aid
AYU0146,Maharashtra,"Vasant Dada Patil Ayurved Medical College & Institute of Yoga, South Shivaji Nagar,  Opposite Income Tax Office, Miraj Road, Tal. Miraj, Sangli-416416, Maharashtra",Government aided
AYU0147,Maharashtra,"Shri Vivekanand Nursing Home Trust’s Ayurved Mahavidyalaya Shri Shivaji Nagar, A/P- Rahuri Factory, Tal. Rahuri,  Distt. Ahmednagar-413706, Maharashtra",Private
AYU0148,Maharashtra,"Maharashtra Arogya Mandal’s Sumati Bhai Shah Ayurved Mahavidyalaya, Malwadi Hadapsar, Tal: Haveli, Distt. Pune-411028, Maharashtra",Private
AYU0149,Maharashtra,"Poona District Education Association’s, College of Ayurved  & Research Centre, Sector No. 25, Pradhikaran, Akurdi, Nigadi, Tal. Haveli, Distt. Pune –411044, Maharashtra",Private
AYU0150,Maharashtra,"Sangam Sevabhavi Trust’s Ayurved Mahavidyalaya   Tal. Sangamner – 422605, Distt.
Ahmednagar, Maharashtra",Private
AYU0151,Maharashtra,"Siddhakala Ayurved Mahavidyalaya, Pimparne Road, Sangamner Kd, Tal. Sangamner,
Dist. Ahmednagar-422605, Maharashtra",Private
AYU0152,Maharashtra,"Bharatiya Sanskriti Darshan Trust’s Ayurved Mahavidyalaya Vishwa Shanti Dham, A/P Wagholi,
Tal.-Haweli, Dist.-Pune-412207, Maharashtra",Private
AYU0153,Maharashtra,"Chhatrapati Shahu Maharaj Shikshan Sanstha’s Ayurved Mahavidyalaya & Rugnalaya Kanchanwadi,
Paithan Road Tq. & Distt. Aurangabad -431002 Maharashtra",Private
AYU0154,Maharashtra,"Govt. Ayurvedic College
Tulajapur Road, Osmanabad-413501, Maharashtra",Government
AYU0155,Maharashtra,"Seth Chandanmal Mutha  Aryangla Vaidyak Mahavidyalaya I.T.I Road, Gendamal, Satara-415002, Maharashtra",Government aided
